Date,Open,High,Low,Close,Volume
2013-01-02,67.57,68.57,67.5,68.35,310800
2013-01-03,68.49,68.76,67.84,68.1,270700
2013-01-04,68.2,68.46,67.98,68.23,358300
2013-01-07,67.88,68.27,67.82,68.14,304600
2013-01-08,67.97,68.21,67.73,68.19,455700
2013-01-09,68.41,69.03,68.41,68.64,351800
2013-01-10,69.03,69.14,68.26,69.05,287800
2013-01-11,69.35,69.35,68.55,68.63,310900
2013-01-14,68.54,69.08,68.24,69.04,201500
2013-01-15,68.65,69.57,68.62,69.44,286800
2013-01-16,68.91,69.54,68.91,69.46,250100
2013-01-17,69.82,70.27,69.68,70.08,238300
2013-01-18,69.88,70.58,69.61,70.56,344200
2013-01-22,70.7,70.88,69.84,70.81,337400
2013-01-23,70.65,70.82,70.16,70.29,328300
2013-01-24,70.69,71.21,70.26,70.77,433700
2013-01-25,71.05,71.37,70.88,71.13,278200
2013-01-28,71.28,71.28,70.31,70.51,312200
2013-01-29,70.53,71.19,70.51,71.17,314100
2013-01-30,71.17,71.42,70.72,70.84,374700
2013-01-31,70.76,71.2,70.4,70.43,1022200
2013-02-01,70.76,71.39,70.32,71.32,398700
2013-02-04,71.02,71.22,70.54,70.73,317900
2013-02-05,71.41,71.96,70.66,71.17,496000
2013-02-06,70.79,71.44,70.79,71.19,411800
2013-02-07,69.73,72.87,69.25,72.66,937700
2013-02-08,73.2,73.9,72.43,73.6,623700
2013-02-11,73.65,74.04,72.84,73.33,289400
2013-02-12,73.51,73.79,73.2,73.44,240900
2013-02-13,73.9,74.44,73.58,74.17,292000
2013-02-14,73.86,73.99,73.31,73.8,321100
2013-02-15,73.78,74.25,73.54,73.88,329300
2013-02-19,73.83,74.16,73.49,73.85,345400
2013-02-20,73.69,73.69,72.43,72.44,447200
2013-02-21,72.47,72.55,71.43,71.91,393600
2013-02-22,72.1,72.51,71.63,72.46,263400
2013-02-25,72.86,72.86,70.73,70.73,324300
2013-02-26,71.07,71.75,70.89,71.63,279600
2013-02-27,71.65,73.03,71.64,72.8,309200
2013-02-28,72.89,73.34,72.55,72.98,310400
2013-03-01,72.75,73.38,72.04,73.3,440900
2013-03-04,73.33,73.55,72.7,73.34,331400
2013-03-05,73.63,73.97,73.19,73.42,357200
2013-03-06,73.59,73.99,73.57,73.79,234200
2013-03-07,73.79,73.99,73.39,73.67,182800
2013-03-08,73.86,74.17,73.63,73.99,293700
2013-03-11,73.8,75.19,73.8,75.11,402000
2013-03-12,75.1,75.1,74.52,74.79,295800
2013-03-13,74.84,75.54,74.5,75.41,305000
2013-03-14,75.49,75.86,75.15,75.85,308800
2013-03-15,75.48,76.29,75.34,76.14,522500
2013-03-18,75.48,75.85,75.25,75.65,234900
2013-03-19,75.48,75.79,74.65,75.45,397800
2013-03-20,75.85,76.88,75.65,76.86,297900
2013-03-21,76.93,77.4,75.56,75.84,402000
2013-03-22,76.27,76.37,75.04,75.44,417300
2013-03-25,75.47,76.1,74.91,75.27,340700
2013-03-26,75.59,75.94,75.09,75.74,192300
2013-03-27,75.34,75.44,74.8,75.4,224000
2013-03-28,75.45,76.69,75.27,76.67,468500
2013-04-01,76.35,76.69,75.33,75.48,240200
2013-04-02,75.51,75.92,75.01,75.3,258600
2013-04-03,75.19,75.51,73.9,74.16,299000
2013-04-04,74.35,74.77,73.97,74.61,340200
2013-04-05,73.79,74.07,73.42,73.77,310700
2013-04-08,73.71,73.97,73.09,73.95,252900
2013-04-09,74.08,74.2,73.25,73.89,293100
2013-04-10,74.14,75.36,73.84,75.29,335100
2013-04-11,75.29,76.3,74.96,76.06,272100
2013-04-12,75.74,76.28,75.01,75.48,254000
2013-04-15,75.07,75.07,73.51,73.52,338700
2013-04-16,74.0,75.19,73.87,75.15,286100
2013-04-17,74.66,74.67,73.74,74.45,231700
2013-04-18,74.57,74.78,73.57,73.85,156400
2013-04-19,74.25,75.19,73.95,75.06,397200
2013-04-22,75.18,76.32,74.12,76.1,293400
2013-04-23,76.38,77.2,76.22,77.09,319700
2013-04-24,77.26,77.3,76.69,76.83,274800
2013-04-25,77.22,77.32,76.56,76.86,229700
2013-04-26,76.88,76.88,75.8,75.89,217700
2013-04-29,76.12,76.77,75.88,76.49,215900
2013-04-30,76.45,77.27,75.94,77.19,428500
2013-05-01,77.0,77.0,76.19,76.21,240900
2013-05-02,76.54,76.9,76.04,76.81,209300
2013-05-03,77.34,78.03,77.25,77.94,201000
2013-05-06,77.76,78.31,77.55,78.19,249700
2013-05-07,77.49,79.67,74.88,79.46,276100
2013-05-08,79.45,79.73,78.57,79.72,345200
2013-05-09,79.51,79.77,79.37,79.64,275200
2013-05-10,79.7,80.22,79.5,80.17,263800
2013-05-13,80.27,80.36,79.8,80.07,213800
2013-05-14,80.12,81.67,80.12,81.44,397800
2013-05-15,81.09,81.98,80.77,81.87,465900
2013-05-16,81.66,81.84,81.12,81.19,209700
