Date,Open,High,Low,Close,Volume
2013-01-02,79.12,79.29,77.38,78.43,140129500
2013-01-03,78.27,78.52,77.29,77.44,88241300
2013-01-04,76.71,76.95,75.12,75.29,148583400
2013-01-07,74.57,75.61,73.6,74.84,121039100
2013-01-08,75.6,75.98,74.46,75.04,114676800
2013-01-09,74.64,75.0,73.71,73.87,101901100
2013-01-10,75.51,75.53,73.65,74.79,150286500
2013-01-11,74.43,75.05,74.15,74.33,87626700
2013-01-14,71.81,72.5,71.22,71.68,183551900
2013-01-15,71.19,71.28,69.05,69.42,219193100
2013-01-16,70.66,72.78,70.36,72.3,172701200
2013-01-17,72.9,72.96,71.72,71.81,113419600
2013-01-18,71.22,71.75,70.91,71.43,118230700
2013-01-22,72.08,72.55,70.95,72.11,115386600
2013-01-23,72.69,73.57,72.11,73.43,215377400
2013-01-24,65.71,66.53,64.32,64.36,365213100
2013-01-25,64.53,65.18,62.14,62.84,302006600
2013-01-28,62.55,64.74,62.27,64.26,196379400
2013-01-29,65.5,65.74,64.59,65.47,142789500
2013-01-30,65.29,66.09,64.93,65.26,104288800
2013-01-31,65.28,65.61,65.0,65.07,79833600
2013-02-01,65.59,65.64,64.05,64.8,134871100
2013-02-04,64.84,65.13,63.14,63.19,119279300
2013-02-05,63.44,65.68,63.17,65.41,143336900
2013-02-06,65.21,66.64,64.65,65.34,148426600
2013-02-07,66.18,67.14,64.87,66.89,176145200
2013-02-08,67.71,68.4,66.89,67.85,158289600
2013-02-11,68.07,69.28,67.61,68.56,129372600
2013-02-12,68.5,68.91,66.82,66.84,152263300
2013-02-13,66.74,67.66,66.17,66.72,118801900
2013-02-14,66.36,67.38,66.29,66.66,88818800
2013-02-15,66.98,67.17,65.7,65.74,97936300
2013-02-19,65.87,66.1,64.84,65.71,108945900
2013-02-20,65.38,65.38,64.11,64.12,119075600
2013-02-21,63.71,64.17,63.26,63.72,111795600
2013-02-22,64.18,64.51,63.8,64.4,82663700
2013-02-25,64.84,65.02,63.22,63.26,93144800
