Date,Open,High,Low,Close,Volume
2013-01-02,42.94,43.49,41.72,42.79,8162800
2013-01-03,42.52,43.13,42.03,42.18,5707600
2013-01-04,42.17,42.6,42.02,42.4,3296400
2013-01-07,42.32,42.32,41.69,42.24,4185600
2013-01-08,42.34,42.67,41.89,42.49,3953600
2013-01-09,42.53,43.09,42.33,42.96,3856000
2013-01-10,43.15,43.46,42.46,43.28,4749200
2013-01-11,43.12,43.41,42.81,43.34,5296800
2013-01-14,43.24,43.69,43.11,43.5,3814000
2013-01-15,43.11,43.74,42.79,43.66,4128000
2013-01-16,43.5,43.68,41.82,42.41,16573600
2013-01-17,42.69,43.33,42.6,42.78,6331600
2013-01-18,42.88,43.03,41.91,42.51,6346000
2013-01-22,42.51,42.57,41.53,41.72,7501600
2013-01-23,41.81,42.93,41.79,42.6,5760000
2013-01-24,42.69,43.37,42.62,43.07,5149600
2013-01-25,43.3,43.94,43.15,43.47,6508000
2013-01-28,44.33,44.73,44.16,44.52,8180000
2013-01-29,43.67,44.0,43.08,43.67,6209600
2013-01-30,43.76,44.11,42.94,43.08,7241600
2013-01-31,43.35,43.69,42.65,43.03,4999600
2013-02-01,43.49,43.96,43.31,43.76,5174000
2013-02-04,43.45,43.71,42.96,43.19,5354400
2013-02-05,43.27,43.44,42.78,43.1,3767200
2013-02-06,42.87,43.33,42.67,42.83,4883200
2013-02-07,42.94,43.12,42.29,42.51,4346000
2013-02-08,42.62,42.86,42.37,42.49,4284000
2013-02-11,42.71,42.81,42.27,42.66,5684000
2013-02-12,42.68,43.25,42.62,43.09,5906400
2013-02-13,43.09,43.34,42.5,43.08,4106800
2013-02-14,43.07,43.87,42.89,43.62,6841200
2013-02-15,43.69,43.96,43.15,43.76,5413600
2013-02-19,43.67,43.94,43.45,43.71,3497200
2013-02-20,43.72,43.9,42.76,42.77,5296800
2013-02-21,42.72,42.79,41.94,42.14,5466800
2013-02-22,42.54,42.64,42.19,42.64,4078400
2013-02-25,42.45,42.74,40.82,40.88,10159600
2013-02-26,40.95,41.67,40.56,40.84,6919200
2013-02-27,40.84,42.05,40.5,41.74,6224400
2013-02-28,41.77,42.47,41.77,42.31,14840000
2013-03-01,44.38,45.81,42.7,45.5,26723200
2013-03-04,45.51,46.66,45.37,46.47,9554000
2013-03-05,45.94,46.47,45.76,46.44,9381200
2013-03-06,46.42,46.87,46.14,46.59,4816400
2013-03-07,46.62,46.64,46.02,46.12,3820000
2013-03-08,46.45,46.51,45.77,46.46,4218400
2013-03-11,46.38,46.99,46.38,46.49,4032000
2013-03-12,45.67,45.83,45.12,45.2,8922000
2013-03-13,45.38,45.41,44.74,45.23,6623200
2013-03-14,45.41,45.72,44.59,44.62,7147600
2013-03-15,44.61,44.96,44.05,44.12,9867600
2013-03-18,43.83,44.25,43.46,43.53,6496800
2013-03-19,43.63,43.68,42.59,42.81,7280800
2013-03-20,43.29,43.42,42.94,43.13,4590400
2013-03-21,42.69,43.42,42.53,43.18,6500000
2013-03-22,43.85,44.28,43.26,44.01,7256400
2013-03-25,43.99,44.07,43.06,43.19,5163200
2013-03-26,43.38,43.7,42.8,43.4,4500800
2013-03-27,43.23,44.04,43.12,43.97,5028400
2013-03-28,43.96,44.81,43.77,44.71,6541200
2013-04-01,44.67,44.91,43.68,43.85,4823200
2013-04-02,44.25,44.32,43.7,43.83,3875600
2013-04-03,43.71,43.96,41.67,42.13,8306000
2013-04-04,42.13,42.17,41.13,41.6,5673200
2013-04-05,40.42,41.43,40.33,41.35,5285200
2013-04-08,41.24,41.8,40.99,41.72,3674400
2013-04-09,41.88,41.88,40.89,41.33,5304000
2013-04-10,41.49,42.3,41.38,42.19,4476400
2013-04-11,41.88,42.08,41.41,41.63,6846000
2013-04-12,41.59,42.47,41.12,42.38,7168400
2013-04-15,41.99,42.49,41.29,41.29,7120000
2013-04-16,41.69,42.6,41.52,42.6,6039200
2013-04-17,42.21,42.67,41.42,41.84,22142000
2013-04-18,41.17,41.91,40.76,41.03,4476800
2013-04-19,41.02,41.25,39.75,40.88,8713600
