Date,Open,High,Low,Close,Volume
2013-01-02,59.22,59.35,56.96,58.25,777800
2013-01-03,58.28,60.66,58.04,59.34,690100
2013-01-04,59.44,60.78,59.28,60.52,522000
2013-01-07,59.82,61.32,59.8,61.21,821900
2013-01-08,61.03,61.51,60.81,61.14,845500
2013-01-09,61.13,61.35,59.55,60.18,668900
2013-01-10,60.79,61.11,59.76,61.0,909900
2013-01-11,60.87,61.49,60.56,61.4,719200
2013-01-14,61.45,62.35,61.4,62.25,747800
2013-01-15,61.68,62.88,61.67,62.85,752900
2013-01-16,62.66,62.97,62.1,62.75,592600
2013-01-17,63.0,63.1,62.28,62.96,613200
2013-01-18,63.03,63.93,62.0,63.84,916400
2013-01-22,63.72,64.07,62.82,64.04,793100
2013-01-23,63.92,64.25,62.83,62.9,610700
2013-01-24,63.11,63.66,62.88,63.23,812200
2013-01-25,63.4,64.2,63.03,64.0,1123400
2013-01-28,64.1,64.12,62.95,64.01,728200
2013-01-29,63.89,64.78,63.64,64.06,851200
2013-01-30,64.27,64.52,63.35,63.75,662800
2013-01-31,63.46,64.18,62.52,63.86,630200
2013-02-01,64.5,64.63,63.68,64.53,596700
2013-02-04,63.86,64.06,63.2,63.77,379400
2013-02-05,64.26,65.25,64.09,65.1,533300
2013-02-06,64.7,66.39,64.65,66.3,679400
2013-02-07,66.47,66.5,65.48,65.96,451200
2013-02-08,66.14,66.83,65.97,66.6,659100
2013-02-11,66.36,66.81,65.81,66.75,477900
2013-02-12,66.62,67.37,66.58,67.0,525800
2013-02-13,67.16,67.88,66.65,67.75,732300
2013-02-14,67.42,68.14,67.24,67.25,827500
2013-02-15,67.08,67.12,64.81,64.95,1198300
2013-02-19,66.48,67.09,64.95,66.95,2306500
2013-02-20,67.02,68.59,66.95,67.33,1752600
2013-02-21,68.52,68.9,66.56,68.81,1917600
2013-02-22,69.94,70.36,68.55,68.84,844600
2013-02-25,69.34,69.46,66.52,66.53,934400
2013-02-26,66.98,67.18,65.47,67.0,1299700
