Date,Open,High,Low,Close,Volume
2013-01-02,89.77,90.83,89.77,90.75,389900
2013-01-03,90.94,92.11,90.94,91.68,325900
2013-01-04,91.92,92.11,91.28,91.66,266100
2013-01-07,91.31,92.26,91.31,91.39,351700
2013-01-08,91.26,91.66,90.83,90.94,272900
2013-01-09,91.18,91.44,90.52,90.91,128500
2013-01-10,91.21,92.42,90.62,91.92,347100
2013-01-11,91.92,91.92,90.99,91.26,143400
2013-01-14,91.18,91.52,90.7,91.39,154200
2013-01-15,90.94,92.64,90.94,92.19,276200
2013-01-16,92.08,92.42,91.68,91.87,226000
2013-01-17,92.05,92.34,91.36,92.11,249700
2013-01-18,92.34,92.34,91.79,92.05,284600
2013-01-22,92.05,92.21,91.68,91.87,588800
2013-01-23,91.71,92.45,91.47,91.76,277100
2013-01-24,91.55,92.21,91.31,91.66,400500
2013-01-25,92.21,92.58,91.76,92.4,235900
2013-01-28,92.79,92.9,92.16,92.85,196700
2013-01-29,92.72,93.4,92.69,93.32,250800
2013-01-30,93.09,93.96,92.72,93.72,282400
2013-01-31,93.67,94.81,93.64,94.6,472100
2013-02-01,95.55,97.22,94.73,95.42,349000
2013-02-04,95.21,95.36,93.99,94.25,218300
2013-02-05,94.33,95.39,93.99,95.28,274500
2013-02-06,94.94,96.64,94.62,96.53,311200
2013-02-07,96.82,96.98,95.6,96.11,136700
2013-02-08,96.08,96.69,95.47,96.4,243900
2013-02-11,95.79,96.32,95.44,95.55,231500
2013-02-12,95.5,96.29,94.89,94.99,507800
2013-02-13,98.2,100.29,97.91,99.13,1019400
2013-02-14,98.94,99.07,97.43,97.67,447500
2013-02-15,97.17,97.96,96.85,97.19,220400
2013-02-19,97.22,97.56,96.87,97.17,272500
2013-02-20,97.11,97.67,97.03,97.22,268000
2013-02-21,97.27,97.93,97.14,97.72,278600
2013-02-22,98.01,98.01,97.35,97.46,198000
2013-02-25,97.59,97.99,97.32,97.7,773000
2013-02-26,99.34,99.42,96.95,98.73,998200
2013-02-27,98.91,99.66,98.73,99.6,222100
2013-02-28,99.5,101.03,99.44,100.87,421000
2013-03-01,100.26,101.01,100.11,100.69,263200
2013-03-04,100.45,101.3,99.76,101.11,344100
2013-03-05,101.3,101.93,101.06,101.19,171600
2013-03-06,101.32,101.62,100.05,100.32,111700
2013-03-07,100.4,100.58,99.84,100.19,832300
2013-03-08,100.82,101.09,100.21,100.45,124500
2013-03-11,100.34,100.85,100.26,100.74,249700
2013-03-12,100.72,100.93,100.32,100.48,265300
2013-03-13,100.58,100.66,100.11,100.13,396000
2013-03-14,100.29,100.85,99.95,100.77,626400
2013-03-15,100.72,101.3,100.45,100.69,268100
2013-03-18,100.16,100.87,99.79,99.97,385600
2013-03-19,100.34,101.27,100.29,101.19,240200
2013-03-20,101.35,103.05,101.35,102.86,404300
2013-03-21,102.68,103.15,102.38,102.75,254600
2013-03-22,103.05,103.55,102.23,102.3,164200
2013-03-25,102.46,103.23,102.2,102.73,158400
2013-03-26,101.96,103.13,101.93,103.05,169800
2013-03-27,102.99,103.36,102.25,103.07,273700
2013-03-28,103.1,104.64,102.54,104.61,336400
2013-04-01,104.4,104.9,103.42,104.21,181300
2013-04-02,104.21,104.61,103.36,103.6,102300
2013-04-03,103.66,103.74,101.38,101.7,333100
