Date,Open,High,Low,Close,Volume
2013-01-02,64.7,65.19,64.43,65.15,725700
2013-01-03,65.45,65.92,65.27,65.4,580900
2013-01-04,65.62,65.7,64.57,65.63,664300
2013-01-07,65.46,65.46,64.98,65.21,525500
2013-01-08,65.0,65.49,64.47,65.14,832300
2013-01-09,65.16,65.74,65.14,65.72,494200
2013-01-10,66.04,66.5,64.98,65.64,643700
2013-01-11,65.58,65.71,64.75,65.04,528600
2013-01-14,65.16,65.51,64.96,65.3,427500
2013-01-15,65.19,65.71,64.99,65.64,323500
2013-01-16,65.33,65.49,65.19,65.31,343000
2013-01-17,65.59,65.89,65.42,65.42,483600
2013-01-18,65.6,65.71,65.23,65.42,975000
2013-01-22,65.44,66.07,65.18,66.06,614200
2013-01-23,65.97,66.41,65.59,65.88,393100
2013-01-24,66.14,66.88,65.83,66.6,499300
2013-01-25,66.86,67.0,66.46,66.98,439400
2013-01-28,66.94,66.99,66.35,66.66,540000
2013-01-29,67.03,68.42,66.85,68.24,1319500
2013-01-30,68.3,68.42,67.53,67.6,659200
2013-01-31,67.52,68.14,67.11,68.03,1093500
2013-02-01,68.51,69.01,68.22,68.94,751200
2013-02-04,68.53,68.76,68.4,68.6,1055400
2013-02-05,68.89,69.47,68.64,69.2,601800
2013-02-06,69.2,69.41,68.86,69.41,485400
2013-02-07,69.7,70.07,69.17,69.5,802200
2013-02-08,69.57,69.99,69.57,69.92,533100
2013-02-11,69.92,70.11,69.47,69.89,417500
2013-02-12,69.87,70.23,69.84,70.19,659400
2013-02-13,70.2,70.62,69.89,70.54,600700
2013-02-14,70.55,70.87,70.36,70.79,581600
2013-02-15,70.92,71.44,70.84,71.44,837200
2013-02-19,70.91,70.91,68.29,68.75,2307900
2013-02-20,68.79,69.64,68.75,69.0,925300
2013-02-21,68.92,68.98,68.3,68.64,907500
2013-02-22,69.0,69.58,68.85,69.57,476100
2013-02-25,69.87,69.93,68.59,68.84,877600
2013-02-26,69.15,69.42,68.62,69.26,798100
2013-02-27,69.23,70.49,69.0,70.49,770900
2013-02-28,70.58,71.47,70.37,71.03,1765900
2013-03-01,70.8,71.16,70.43,71.0,1134900
2013-03-04,71.0,71.99,70.84,71.97,771600
2013-03-05,72.29,73.02,72.22,72.77,640100
2013-03-06,72.21,72.64,72.01,72.62,695500
2013-03-07,73.26,73.34,72.47,73.21,1556200
2013-03-08,73.52,74.72,73.22,73.93,2032100
2013-03-11,73.69,75.36,73.58,75.11,1319900
2013-03-12,75.09,75.5,75.0,75.44,670000
2013-03-13,75.63,75.81,75.25,75.75,869600
2013-03-14,75.87,76.56,75.65,76.56,1070300
2013-03-15,76.12,76.6,75.72,75.86,1050100
2013-03-18,75.19,76.14,75.1,75.72,570200
2013-03-19,75.75,76.0,74.9,75.7,699900
