Date,Open,High,Low,Close,Volume
2013-01-02,138.8,141.1,138.7,140.0,659100
2013-01-03,140.06,141.28,139.09,139.61,375900
2013-01-04,139.55,140.3,138.8,140.29,305000
2013-01-07,139.85,140.76,138.81,140.75,366700
2013-01-08,140.36,141.23,136.66,137.5,792200
2013-01-09,137.8,139.61,137.64,139.59,949300
2013-01-10,140.15,140.15,134.96,136.09,1125200
2013-01-11,136.56,138.23,136.21,137.53,717300
2013-01-14,137.16,137.89,135.12,135.75,507000
2013-01-15,134.83,136.89,134.68,135.48,768800
2013-01-16,135.18,135.18,133.0,134.81,222800
2013-01-17,135.24,136.98,134.71,136.69,296500
2013-01-18,136.78,136.78,134.31,136.22,487200
2013-01-22,136.08,137.13,135.5,137.02,240600
2013-01-23,136.98,137.56,136.19,137.43,163800
2013-01-24,137.14,139.37,137.02,138.21,261000
2013-01-25,138.63,138.96,137.78,138.41,334200
2013-01-28,139.19,139.19,135.96,136.87,290200
2013-01-29,136.44,138.7,136.04,137.83,387100
2013-01-30,137.2,138.54,137.14,137.82,608500
2013-01-31,137.74,138.22,135.4,135.44,390600
2013-02-01,136.45,137.51,135.97,136.42,587200
2013-02-04,135.99,143.94,134.46,137.72,1404100
2013-02-05,139.07,140.28,138.0,139.44,504400
2013-02-06,139.12,140.05,138.25,139.74,587300
2013-02-07,139.9,143.7,139.5,143.61,789900
2013-02-08,143.6,144.85,142.74,143.05,541200
2013-02-11,143.25,146.45,142.95,145.18,685100
2013-02-12,145.55,146.31,143.41,144.91,282600
2013-02-13,145.0,145.7,143.57,144.75,244300
2013-02-14,144.28,144.78,142.67,143.44,242500
2013-02-15,143.21,144.14,142.88,143.77,264200
2013-02-19,143.73,144.23,142.4,143.05,562700
2013-02-20,143.26,143.72,139.71,139.86,357000
2013-02-21,139.47,141.21,138.92,141.16,374400
2013-02-22,141.5,143.0,141.5,142.74,243400
2013-02-25,143.19,143.23,138.83,138.83,280500
2013-02-26,139.53,139.95,138.47,139.18,207800
2013-02-27,139.28,143.53,139.0,142.6,358400
2013-02-28,142.82,144.33,141.94,142.34,454800
2013-03-01,141.71,143.61,140.54,142.68,196900
2013-03-04,142.09,143.08,141.01,141.75,295500
2013-03-05,142.62,144.61,142.43,142.84,195500
2013-03-06,143.65,144.14,142.85,143.51,141800
2013-03-07,143.96,144.37,142.76,143.72,160700
2013-03-08,144.36,144.66,143.36,143.85,329600
2013-03-11,146.45,147.75,145.31,147.56,526200
2013-03-12,147.67,148.17,146.18,146.9,272600
2013-03-13,146.97,150.68,146.61,150.59,325300
2013-03-14,150.97,151.03,149.51,150.91,245000
2013-03-15,150.27,151.96,150.09,151.02,628400
2013-03-18,149.48,151.38,149.43,150.1,264400
2013-03-19,150.45,151.0,149.0,150.44,319300
2013-03-20,150.96,152.17,149.95,151.71,216200
2013-03-21,150.81,151.36,149.0,149.71,178300
2013-03-22,150.2,150.47,148.84,149.35,145100
2013-03-25,149.78,150.66,147.87,148.28,305600
2013-03-26,149.16,150.58,148.35,150.27,241600
2013-03-27,149.46,151.5,148.63,150.96,179200
2013-03-28,151.19,153.12,150.15,152.92,213300
2013-04-01,153.19,153.74,150.67,151.09,269600
2013-04-02,151.17,152.17,150.23,150.39,241700
2013-04-03,150.81,151.47,148.84,149.53,243300
2013-04-04,149.68,150.29,148.75,149.84,95000
2013-04-05,148.17,148.55,146.2,147.88,293700
2013-04-08,147.71,151.0,147.63,150.28,192400
