Date,Open,High,Low,Close,Volume
2013-01-02,71.02,71.02,70.3,70.84,12874200
2013-01-03,70.98,71.0,70.45,70.74,9598300
2013-01-04,71.24,71.73,71.01,71.55,11631800
2013-01-07,71.5,71.53,71.19,71.4,7548800
2013-01-08,71.31,71.65,71.25,71.41,9825300
2013-01-09,71.64,71.85,71.5,71.73,7672800
2013-01-10,71.81,72.38,71.74,72.19,11888500
2013-01-11,72.19,72.58,72.16,72.35,7766700
2013-01-14,72.6,72.79,72.37,72.56,7386000
2013-01-15,72.25,72.44,72.0,72.37,7795100
2013-01-16,72.26,72.82,72.25,72.58,8779900
2013-01-17,72.88,73.01,72.37,72.9,10570100
2013-01-18,72.9,73.23,72.79,73.23,13558600
2013-01-22,72.92,73.21,72.42,72.69,11469800
2013-01-23,72.52,72.91,72.47,72.85,10155100
2013-01-24,72.96,73.23,72.84,73.1,9369700
2013-01-25,73.13,73.93,73.06,73.92,10421500
2013-01-28,73.96,74.0,73.43,73.62,9420900
2013-01-29,73.67,74.62,73.64,74.41,12386500
2013-01-30,74.45,74.8,74.01,74.09,9245500
2013-01-31,74.08,74.36,73.78,73.92,10448700
2013-02-01,74.14,74.42,74.08,74.18,10016300
2013-02-04,73.56,74.25,73.56,74.11,9200700
2013-02-05,74.49,74.82,74.47,74.66,10230800
2013-02-06,74.57,75.39,74.52,75.39,12084000
2013-02-07,74.82,75.2,74.68,75.06,9798200
2013-02-08,75.17,75.61,74.73,75.48,8153300
2013-02-11,75.28,75.5,75.05,75.41,5697100
2013-02-12,75.42,75.86,75.42,75.8,7598900
2013-02-13,75.79,75.87,75.37,75.66,8014800
2013-02-14,75.5,76.09,75.38,75.81,9681800
2013-02-15,75.72,76.16,75.51,76.16,10528400
2013-02-19,76.03,77.0,75.96,76.96,9747400
2013-02-20,76.79,76.97,76.54,76.65,7857500
2013-02-21,76.47,77.02,76.38,76.87,9465700
2013-02-22,76.39,76.49,75.97,76.25,8571500
2013-02-25,76.47,76.66,75.57,75.57,10603300
2013-02-26,75.88,76.34,75.5,75.75,10742100
2013-02-27,75.68,76.45,75.6,76.32,8180300
2013-02-28,76.23,76.49,76.11,76.11,11806300
2013-03-01,75.79,76.77,75.73,76.7,9528300
2013-03-04,76.73,77.28,76.73,77.2,12628000
2013-03-05,77.56,77.71,77.44,77.66,9399400
2013-03-06,77.69,77.74,77.22,77.39,8535200
2013-03-07,77.62,77.96,77.59,77.75,7996500
2013-03-08,77.84,78.22,77.7,78.19,8554100
2013-03-11,77.92,78.52,77.84,78.44,8807600
2013-03-12,78.5,78.69,78.21,78.56,8790500
2013-03-13,78.52,78.67,78.2,78.55,7983400
2013-03-14,78.67,79.1,78.49,79.1,10130400
2013-03-15,78.62,79.24,78.62,79.19,18296500
2013-03-18,78.72,79.19,78.7,78.81,8005400
2013-03-19,78.98,79.09,78.5,78.86,7095800
2013-03-20,79.18,79.61,79.17,79.45,8000800
2013-03-21,79.12,79.5,78.77,79.01,8436300
2013-03-22,79.11,79.74,79.02,79.74,6873100
2013-03-25,79.83,79.94,79.47,79.68,9616600
2013-03-26,79.93,80.88,79.85,80.85,12682900
2013-03-27,80.56,81.35,80.27,81.27,10703400
2013-03-28,81.37,81.59,80.95,81.53,11332100
2013-04-01,81.39,81.96,81.28,81.93,7376800
2013-04-02,82.0,82.69,81.9,82.69,10342200
2013-04-03,82.74,82.95,81.57,82.07,12254000
2013-04-04,82.2,82.72,81.93,82.41,10303000
2013-04-05,81.79,82.11,81.62,82.04,8581400
2013-04-08,81.27,81.39,80.31,81.11,15828500
2013-04-09,81.26,81.75,81.24,81.52,9111000
2013-04-10,81.83,82.2,81.74,82.02,7583200
2013-04-11,82.14,82.96,82.08,82.32,9882700
2013-04-12,82.25,82.74,82.17,82.74,6987000
2013-04-15,82.72,83.09,81.71,81.71,12385800
2013-04-16,82.33,83.54,82.07,83.44,12620000
2013-04-17,83.36,84.43,83.29,83.9,13693300
2013-04-18,83.96,84.3,83.03,83.18,9921500
2013-04-19,83.51,84.57,83.47,84.49,10787600
2013-04-22,84.59,84.93,84.2,84.83,6989900
2013-04-23,84.99,85.68,84.0,85.45,8982100
2013-04-24,85.68,85.74,84.28,84.39,9480600
2013-04-25,84.54,85.44,84.34,85.22,8689400
2013-04-26,85.3,85.49,84.81,85.12,6784700
2013-04-29,85.02,85.89,84.91,85.58,8038000
2013-04-30,85.39,85.7,84.89,85.23,12099600
2013-05-01,84.5,85.13,83.88,84.23,12312100
2013-05-02,84.44,85.21,84.17,85.16,8668900
2013-05-03,85.58,85.99,85.45,85.75,9213800
2013-05-06,85.78,85.78,84.55,84.68,8815600
2013-05-07,84.87,85.57,84.63,85.53,9061800
2013-05-08,85.48,85.6,84.93,85.46,8044600
2013-05-09,85.45,85.69,84.96,85.15,8342000
2013-05-10,85.29,85.76,85.18,85.76,7594800
2013-05-13,85.56,86.07,85.44,85.85,6631500
2013-05-14,85.76,87.08,85.76,86.97,10360700
2013-05-15,86.94,87.88,86.94,87.64,13444400
2013-05-16,87.33,87.77,87.06,87.45,9441900
2013-05-17,87.47,88.2,87.41,88.09,11437700
2013-05-20,88.1,88.2,87.81,88.01,7235800
2013-05-21,87.94,88.64,87.79,88.59,10099600
2013-05-22,88.7,89.99,88.2,88.46,13825900
2013-05-23,87.11,87.97,87.0,87.21,14446900
2013-05-24,86.8,87.03,86.49,86.82,10390100
2013-05-28,87.54,88.29,87.27,87.61,8380200
2013-05-29,87.08,87.16,85.14,85.65,11872100
2013-05-30,85.71,86.31,85.68,85.99,7801200
2013-05-31,85.68,85.99,84.18,84.18,13302700
2013-06-03,84.28,84.71,83.37,84.71,11768500
2013-06-04,84.72,85.03,83.56,84.1,9972000
2013-06-05,83.91,85.0,83.48,83.68,9839100
2013-06-06,83.59,84.46,82.65,84.46,10671000
2013-06-07,84.96,85.18,84.4,84.91,8907700
2013-06-10,85.01,85.71,84.73,85.14,8477100
2013-06-11,84.76,85.02,84.13,84.69,8967000
2013-06-12,85.18,85.5,83.7,83.74,8413200
2013-06-13,83.6,84.96,83.08,84.91,8570000
2013-06-14,84.71,85.48,84.66,84.91,6357100
2013-06-17,85.37,86.4,84.98,85.63,8429100
